generation	best	sd	avg
187	335782	23973.181966816235	327614.55289421155
188	335782	23510.6448146247	328144.0628742515
189	335782	22475.23576474172	328742.875249501
190	335782	24304.00198866507	327888.0479041916
191	335782	24311.23778006286	327870.376247505
192	335782	22205.475115719873	329432.7375249501
193	335782	23275.03733168034	328733.44910179643
194	335782	22271.506694728105	329608.5269461078
195	335782	23501.31721211834	328979.2784431138
196	335918	24124.90715315201	328440.76646706584
197	336372	25341.664138378183	327828.82035928144
198	336412	22714.466747399652	329768.6487025948
199	336412	22165.719631236483	330141.76646706584
200	336412	23675.756727542437	329490.871257485
201	336412	23159.755206244972	329878.94910179643
202	336412	23677.881188455645	329588.71956087823
203	336412	22687.590634724518	330363.872255489
204	336877	24368.58391062611	329421.4261477046
205	336891	24089.227908197514	329746.7864271457
206	337027	24297.356799014196	329560.5668662675
207	338587	23713.40142752686	330237.2135728543
208	338587	24698.891321012186	329548.66966067866
209	338587	25013.846866921947	329554.126746507
210	338587	23674.031087183157	330456.34630738525
211	338587	21083.865782400746	332181.24750499
212	338587	22820.183530261682	331369.5728542914
213	338587	24046.34522844694	330847.500998004
214	338587	19628.78332103655	333252.7854291417
215	338587	20813.34697815439	332877.4451097804
216	338587	19114.53782760011	333857.25249501
217	338696	19946.664127033568	333474.1626746507
218	338696	18447.04169462411	334267.1626746507
219	338696	20076.005397533077	333537.500998004
220	338878	19945.742175710035	333733.61676646705
221	338878	18518.731524266193	334634.4141716567
222	338878	16658.276408425572	335489.05988023954
223	338878	17518.064406224144	335239.83033932134
224	339108	18656.09520581021	334778.5768463074
225	339108	16706.40771157805	335655.1866267465
226	339108	16510.928764001084	335774.54391217564
227	339108	16294.521314567897	335925.2984031936
228	339258	17848.374238279	335304.13173652696
229	339258	16430.04494482875	335718.0548902196
230	339258	15754.4968340673	336099.8393213573
231	339258	14162.898494582581	336769.1017964072
232	339258	16404.644869664797	336017.25249501
233	339258	15444.681636467976	336539.8892215569
234	339258	15088.817108943887	336664.126746507
235	339258	15961.320608755848	336414.28243512975
236	339258	18573.02894069181	335238.35628742515
237	339258	18716.571681068483	335152.7105788423
238	339258	16650.372790279267	336061.30738522956
239	339258	17533.666202968412	335704.0369261477
240	339258	16068.164283934873	336256.32834331336
241	339258	15711.216364012143	336460.1397205589
242	339258	16641.30290735083	336037.54291417164
243	339258	17229.51384143831	335896.05888223555
244	339258	14512.304115997875	336897.00598802394
245	339258	16078.117775173016	336348.05888223555
246	339258	16611.403245267287	336061.123752495
247	339258	17016.02534187814	335944.7974051896
248	339258	15959.078342360348	336414.8393213573
249	339258	17942.227624802345	335563.10778443114
250	339258	14726.29278444112	336768.8872255489
251	339258	14631.588997600762	336831.14371257485
252	339258	16166.206545156947	336281.5758483034
253	339258	17255.838544061156	335842.54391217564
254	339258	15226.080970943729	336639.2375249501
255	339258	20023.144101815833	334475.16167664673
256	339258	15866.391520775733	336398.4920159681
257	339258	17678.55488253041	335661.30239520955
258	339258	18243.364241532243	335453.95608782436
259	339258	16417.271221429706	336188.6487025948
260	339258	15533.798694335239	336541.21656686626
261	339258	16488.199661520965	336129.7794411178
262	339258	16400.225212321246	336158.2025948104
263	339258	14497.179328016011	336857.751497006
264	339258	17068.257558910005	335972.9251497006
265	339258	17711.48670671032	335759.11676646705
266	339258	16151.08417580293	336256.5239520958
267	339258	15938.849486518562	336369.63273453095
268	339258	16277.558454108665	336160.5658682635
269	339258	18424.14739434687	335318.8353293413
270	339258	17784.844295920757	335644.01497005986
271	339258	15363.153940400698	336566.0868263473
